Node Number	X Location (m)	Y Location (m)	Z Location (m)	
143	-2.3882e-002	7.3933e-003	0.	
144	-2.4025e-002	6.914e-003	0.	
145	-2.4158e-002	6.4319e-003	0.	
146	-2.4282e-002	5.9472e-003	0.	
147	-2.4396e-002	5.4602e-003	0.	
148	-2.4501e-002	4.971e-003	0.	
149	-2.4595e-002	4.4798e-003	0.	
150	-2.468e-002	3.9868e-003	0.	
151	-2.4755e-002	3.4922e-003	0.	
152	-2.482e-002	2.9961e-003	0.	
153	-2.4875e-002	2.4989e-003	0.	
154	-2.492e-002	2.0007e-003	0.	
155	-2.4955e-002	1.5017e-003	0.	
156	-2.498e-002	1.0021e-003	0.	
157	-2.4995e-002	5.0213e-004	0.	
158	-2.5e-002	1.9195e-006	0.	
159	-2.4995e-002	-4.9829e-004	0.	
160	-2.498e-002	-9.983e-004	0.	
161	-2.4955e-002	-1.4979e-003	0.	
162	-2.492e-002	-1.9969e-003	0.	
163	-2.4875e-002	-2.4951e-003	0.	
164	-2.482e-002	-2.9923e-003	0.	
165	-2.4755e-002	-3.4884e-003	0.	
166	-2.4681e-002	-3.983e-003	0.	
167	-2.4596e-002	-4.476e-003	0.	
168	-2.4502e-002	-4.9672e-003	0.	
169	-2.4397e-002	-5.4565e-003	0.	
170	-2.4283e-002	-5.9435e-003	0.	
171	-2.4159e-002	-6.4282e-003	0.	
172	-2.4026e-002	-6.9103e-003	0.	
173	-2.3883e-002	-7.3896e-003	0.	
174	-2.373e-002	-7.866e-003	0.	
175	-2.3568e-002	-8.3392e-003	0.	
176	-2.3397e-002	-8.8091e-003	0.	
177	-2.3216e-002	-9.2755e-003	0.	
178	-2.3025e-002	-9.7381e-003	0.	
179	-2.2826e-002	-1.0197e-002	0.	
180	-2.2617e-002	-1.0652e-002	0.	
181	-2.24e-002	-1.1102e-002	0.	
182	-2.2173e-002	-1.1548e-002	0.	
183	-2.1938e-002	-1.1989e-002	0.	
184	-2.1693e-002	-1.2426e-002	0.	
185	-2.144e-002	-1.2857e-002	0.	
186	-2.1179e-002	-1.3284e-002	0.	
187	-2.0909e-002	-1.3705e-002	0.	
188	-2.063e-002	-1.412e-002	0.	
189	-2.0344e-002	-1.453e-002	0.	
190	-2.0049e-002	-1.4935e-002	0.	
191	-1.9746e-002	-1.5333e-002	0.	
192	-1.9435e-002	-1.5725e-002	0.	
193	-1.9117e-002	-1.611e-002	0.	
194	-1.8791e-002	-1.649e-002	0.	
195	-1.8457e-002	-1.6862e-002	0.	
196	-1.8116e-002	-1.7228e-002	0.	
197	-1.7768e-002	-1.7587e-002	0.	
198	-1.7412e-002	-1.7939e-002	0.	
199	-1.705e-002	-1.8284e-002	0.	
200	-1.668e-002	-1.8622e-002	0.	
201	-1.6305e-002	-1.8952e-002	0.	
202	-1.5922e-002	-1.9274e-002	0.	
203	-1.5533e-002	-1.9589e-002	0.	
204	-1.5138e-002	-1.9896e-002	0.	
205	-1.4737e-002	-2.0195e-002	0.	
206	-1.433e-002	-2.0485e-002	0.	
207	-1.3917e-002	-2.0768e-002	0.	
208	-1.3499e-002	-2.1042e-002	0.	
209	-1.3075e-002	-2.1308e-002	0.	
210	-1.2646e-002	-2.1565e-002	0.	
211	-1.2212e-002	-2.1814e-002	0.	
212	-1.1773e-002	-2.2054e-002	0.	
213	-1.133e-002	-2.2285e-002	0.	
214	-1.0882e-002	-2.2508e-002	0.	
215	-1.0429e-002	-2.2721e-002	0.	
216	-9.9724e-003	-2.2925e-002	0.	
217	-9.5117e-003	-2.312e-002	0.	
218	-9.0472e-003	-2.3306e-002	0.	
219	-8.5791e-003	-2.3482e-002	0.	
220	-8.1076e-003	-2.3649e-002	0.	
221	-7.6328e-003	-2.3806e-002	0.	
222	-7.1549e-003	-2.3954e-002	0.	
223	-6.6742e-003	-2.4093e-002	0.	
224	-6.1908e-003	-2.4221e-002	0.	
225	-5.7049e-003	-2.434e-002	0.	
226	-5.2168e-003	-2.445e-002	0.	
227	-4.7266e-003	-2.4549e-002	0.	
228	-4.2344e-003	-2.4639e-002	0.	
229	-3.7406e-003	-2.4719e-002	0.	
230	-3.2453e-003	-2.4788e-002	0.	
231	-2.7486e-003	-2.4848e-002	0.	
232	-2.2509e-003	-2.4898e-002	0.	
233	-1.7523e-003	-2.4939e-002	0.	
234	-1.253e-003	-2.4969e-002	0.	
235	-7.5313e-004	-2.4989e-002	0.	
236	-2.53e-004	-2.4999e-002	0.	
237	2.4724e-004	-2.4999e-002	0.	
238	7.4737e-004	-2.4989e-002	0.	
239	1.2472e-003	-2.4969e-002	0.	
240	1.7465e-003	-2.4939e-002	0.	
241	2.2452e-003	-2.4899e-002	0.	
242	2.7429e-003	-2.4849e-002	0.	
243	3.2396e-003	-2.4789e-002	0.	
244	3.7349e-003	-2.4719e-002	0.	
245	4.2287e-003	-2.464e-002	0.	
246	4.7209e-003	-2.455e-002	0.	
247	5.2112e-003	-2.4451e-002	0.	
248	5.6993e-003	-2.4342e-002	0.	
249	6.1852e-003	-2.4223e-002	0.	
250	6.6687e-003	-2.4094e-002	0.	
251	7.1494e-003	-2.3956e-002	0.	
252	7.6273e-003	-2.3808e-002	0.	
253	8.1021e-003	-2.3651e-002	0.	
254	8.5737e-003	-2.3484e-002	0.	
255	9.0419e-003	-2.3308e-002	0.	
256	9.5064e-003	-2.3122e-002	0.	
257	9.9671e-003	-2.2927e-002	0.	
258	1.0424e-002	-2.2723e-002	0.	
259	1.0876e-002	-2.251e-002	0.	
260	1.1325e-002	-2.2288e-002	0.	
261	1.1768e-002	-2.2057e-002	0.	
262	1.2207e-002	-2.1817e-002	0.	
263	1.2641e-002	-2.1568e-002	0.	
264	1.307e-002	-2.1311e-002	0.	
265	1.3494e-002	-2.1045e-002	0.	
266	1.3913e-002	-2.0771e-002	0.	
267	1.4325e-002	-2.0489e-002	0.	
268	1.4732e-002	-2.0198e-002	0.	
269	1.5134e-002	-1.9899e-002	0.	
270	1.5529e-002	-1.9592e-002	0.	
271	1.5918e-002	-1.9278e-002	0.	
272	1.63e-002	-1.8955e-002	0.	
273	1.6676e-002	-1.8625e-002	0.	
274	1.7045e-002	-1.8288e-002	0.	
275	1.7408e-002	-1.7943e-002	0.	
276	1.7764e-002	-1.7591e-002	0.	
277	1.8112e-002	-1.7232e-002	0.	
278	1.8453e-002	-1.6867e-002	0.	
279	1.8787e-002	-1.6494e-002	0.	
280	1.9113e-002	-1.6115e-002	0.	
281	1.9432e-002	-1.5729e-002	0.	
282	1.9743e-002	-1.5337e-002	0.	
283	2.0045e-002	-1.4939e-002	0.	
284	2.034e-002	-1.4535e-002	0.	
285	2.0627e-002	-1.4125e-002	0.	
286	2.0906e-002	-1.371e-002	0.	
287	2.1176e-002	-1.3289e-002	0.	
288	2.1437e-002	-1.2862e-002	0.	
289	2.169e-002	-1.2431e-002	0.	
290	2.1935e-002	-1.1994e-002	0.	
291	2.217e-002	-1.1553e-002	0.	
292	2.2397e-002	-1.1107e-002	0.	
293	2.2615e-002	-1.0657e-002	0.	
294	2.2824e-002	-1.0202e-002	0.	
295	2.3023e-002	-9.7434e-003	0.	
296	2.3213e-002	-9.2808e-003	0.	
297	2.3395e-002	-8.8145e-003	0.	
298	2.3566e-002	-8.3447e-003	0.	
299	2.3728e-002	-7.8715e-003	0.	
300	2.3881e-002	-7.3951e-003	0.	
301	2.4024e-002	-6.9158e-003	0.	
302	2.4158e-002	-6.4338e-003	0.	
303	2.4282e-002	-5.9491e-003	0.	
304	2.4396e-002	-5.4621e-003	0.	
305	2.45e-002	-4.9729e-003	0.	
306	2.4595e-002	-4.4817e-003	0.	
307	2.468e-002	-3.9887e-003	0.	
308	2.4755e-002	-3.4941e-003	0.	
309	2.482e-002	-2.9981e-003	0.	
310	2.4875e-002	-2.5009e-003	0.	
311	2.492e-002	-2.0027e-003	0.	
312	2.4955e-002	-1.5037e-003	0.	
313	2.498e-002	-1.0041e-003	0.	
314	2.4995e-002	-5.0405e-004	0.	
315	6.5236e-003	5.2272e-003	0.	
316	-6.5821e-003	-5.0157e-003	0.	
317	4.5378e-003	-1.2362e-002	0.	
318	-1.0825e-002	7.4898e-003	0.	
319	1.5029e-002	-1.5723e-003	0.	
320	2.1025e-003	1.5107e-002	0.	
321	-7.3352e-003	-1.4371e-002	0.	
322	-1.5741e-002	-3.5447e-003	0.	
323	5.6016e-003	-3.6385e-003	0.	
324	-2.036e-003	6.2663e-003	0.	
325	1.2013e-002	7.0262e-003	0.	
326	-1.0363e-002	1.5207e-002	0.	
327	1.2566e-002	1.1524e-002	0.	
328	-1.2939e-002	-7.1533e-003	0.	
329	9.9646e-004	-2.0821e-002	0.	
330	-1.5428e-002	6.8134e-003	0.	
331	-1.0792e-003	-8.6573e-003	0.	
332	-8.8752e-003	1.2398e-003	0.	
333	1.3524e-002	-7.715e-003	0.	
334	-4.0358e-003	1.5112e-002	0.	
335	1.6374e-003	1.2868e-003	0.	
336	1.8192e-002	6.4885e-003	0.	
337	-1.5581e-003	-1.3333e-002	0.	
338	7.2165e-003	-1.7652e-002	0.	
339	6.7288e-003	1.8732e-002	0.	
340	-1.546e-002	-1.2482e-002	0.	
341	5.6601e-003	1.3875e-002	0.	
342	-2.1793e-002	3.9169e-004	0.	
343	4.3216e-004	8.7811e-003	0.	
344	1.2209e-002	5.4173e-004	0.	
345	1.7991e-002	-3.5949e-003	0.	
346	-1.0384e-004	2.1654e-002	0.	
347	-4.5455e-003	-1.6576e-002	0.	
348	-2.3845e-003	-1.8367e-003	0.	
349	-1.5505e-002	1.7341e-003	0.	
350	-7.48e-003	1.1248e-002	0.	
351	9.043e-003	-1.0031e-002	0.	
352	1.8159e-002	1.4736e-003	0.	
353	-1.7421e-002	1.1171e-002	0.	
354	-1.9333e-002	-6.8079e-003	0.	
355	1.7103e-002	-1.1084e-002	0.	
356	-6.5302e-003	1.925e-002	0.	
357	-1.1203e-002	-1.7211e-002	0.	
358	8.8063e-003	1.0429e-002	0.	
359	-1.0821e-002	-2.9407e-003	0.	
360	-6.9051e-003	-9.6886e-003	0.	
361	9.7244e-003	1.5153e-002	0.	
362	2.717e-003	-1.6509e-002	0.	
363	9.5324e-003	-5.7266e-003	0.	
364	-1.8636e-002	3.4726e-003	0.	
365	5.039e-003	-7.9662e-003	0.	
366	6.1288e-003	7.3599e-004	0.	
367	-1.1151e-002	-1.1051e-002	0.	
368	-6.5181e-003	6.8006e-003	0.	
369	1.6954e-002	1.2494e-002	0.	
370	4.7545e-003	9.6992e-003	0.	
371	-5.4671e-003	3.6777e-003	0.	
372	2.1993e-003	-6.1366e-003	0.	
373	-3.5014e-003	1.0028e-002	0.	
374	-4.1321e-003	-2.0528e-002	0.	
375	1.5011e-002	4.2249e-003	0.	
376	1.4643e-002	1.5101e-002	0.	
377	-1.3853e-002	1.3225e-002	0.	
378	-8.9305e-003	-1.8302e-002	0.	
379	8.4397e-003	-1.2525e-002	0.	
380	-2.1129e-002	-1.9489e-003	0.	
381	2.144e-002	-7.3908e-003	0.	
382	-1.7729e-002	8.7074e-003	0.	
383	-1.4371e-003	1.9417e-002	0.	
384	1.7259e-002	-8.6151e-003	0.	
385	1.3576e-003	3.8958e-003	0.	
386	2.9069e-004	1.3358e-002	0.	
387	1.6273e-002	8.1084e-003	0.	
388	2.1231e-003	-3.6318e-003	0.	
389	-7.4849e-004	2.0198e-003	0.	
390	2.1435e-002	-1.088e-005	0.	
391	3.3e-003	2.007e-002	0.	
392	-1.3314e-002	4.4285e-003	0.	
393	1.2803e-002	-1.7443e-002	0.	
394	7.754e-003	-2.4903e-003	0.	
395	-8.73e-004	-1.6475e-002	0.	
396	9.4448e-003	2.8991e-003	0.	
397	2.1334e-002	3.0402e-003	0.	
398	1.0912e-002	1.8313e-002	0.	
399	1.5307e-002	-1.5307e-002	0.	
400	-1.1089e-002	1.861e-002	0.	
401	-1.6681e-003	-5.2711e-003	0.	
402	4.1071e-003	-1.9269e-002	0.	
403	-5.4896e-003	-3.2864e-004	0.	
404	-1.2068e-002	1.4264e-003	0.	
405	1.1018e-002	-2.4858e-003	0.	
406	1.9197e-002	9.8104e-003	0.	
407	-1.7392e-002	-9.6761e-003	0.	
408	-1.0678e-002	1.2167e-002	0.	
409	-9.7666e-003	-6.0846e-003	0.	
410	2.8931e-003	6.7297e-003	0.	
411	2.1351e-002	-3.7597e-003	0.	
412	-1.4668e-002	9.9108e-003	0.	
413	-4.1875e-003	-1.1544e-002	0.	
414	1.7215e-003	-1.053e-002	0.	
415	-3.8556e-003	-6.9173e-003	0.	
416	-9.9146e-003	4.2557e-003	0.	
417	-1.8307e-002	-1.7627e-004	0.	
418	-2.1297e-002	5.5034e-003	0.	
419	-1.4912e-002	1.624e-002	0.	
420	-5.7445e-004	1.6413e-002	0.	
421	9.4967e-003	-1.9846e-002	0.	
422	1.3069e-002	-1.0926e-002	0.	
423	1.4374e-002	-4.6193e-003	0.	
424	-7.26e-003	1.5129e-002	0.	
425	-1.3196e-002	-1.4844e-002	0.	
426	-1.6446e-002	-6.5687e-003	0.	
427	9.7212e-003	-1.5676e-002	0.	
428	-1.3903e-002	-1.137e-003	0.	
429	-3.233e-003	2.1998e-002	0.	
430	1.4542e-003	-1.2936e-002	0.	
431	4.0635e-003	-1.4892e-003	0.	
432	-1.0338e-002	-1.467e-002	0.	
433	5.8179e-003	-1.4925e-002	0.	
434	3.4241e-003	1.2367e-002	0.	
435	2.1116e-002	6.8452e-003	0.	
436	-8.2646e-003	-1.689e-003	0.	
437	4.5468e-003	1.68e-002	0.	
438	1.5124e-002	1.1757e-003	0.	
439	5.9186e-003	-2.1528e-002	0.	
440	-1.4422e-002	-9.7025e-003	0.	
441	1.2298e-002	3.4991e-003	0.	
442	7.7135e-003	7.7884e-003	0.	
443	1.9746e-002	-1.0074e-002	0.	
444	3.6337e-003	2.2852e-003	0.	
445	1.0184e-002	1.9758e-004	0.	
446	-1.6747e-002	-1.4765e-002	0.	
447	-1.8885e-002	-1.189e-002	0.	
448	-1.6155e-002	1.3741e-002	0.	
449	-3.1815e-003	8.9655e-004	0.	
450	-1.8361e-002	-2.756e-003	0.	
451	-2.0531e-002	8.919e-003	0.	
452	6.6933e-003	2.1254e-002	0.	
453	-8.4561e-003	-2.0903e-002	0.	
454	1.6084e-003	1.829e-002	0.	
455	-1.4416e-002	-1.7205e-002	0.	
456	-2.1787e-002	-6.2351e-003	0.	
457	-6.6689e-003	-1.9485e-002	0.	
458	-1.3509e-004	-1.9439e-004	0.	
459	-4.4343e-003	-3.4782e-003	0.	
460	-2.4624e-003	-1.8581e-002	0.	
461	8.4476e-003	5.372e-003	0.	
462	1.4122e-002	-1.3045e-002	0.	
463	-9.2125e-003	1.6896e-002	0.	
464	1.9753e-002	-5.4474e-003	0.	
465	-1.5459e-002	4.1803e-003	0.	
466	-1.5568e-003	-2.0658e-002	0.	
467	-3.8544e-003	1.9489e-002	0.	
468	-1.8235e-002	6.1203e-003	0.	
469	8.8306e-003	1.992e-002	0.	
470	-1.0451e-002	-8.5869e-003	0.	
471	-5.7956e-003	1.3171e-002	0.	
472	-9.105e-003	9.3256e-003	0.	
473	1.7672e-002	-6.0628e-003	0.	
474	7.2974e-003	-6.814e-003	0.	
475	1.1323e-002	-8.8749e-003	0.	
476	6.763e-003	-1.1187e-002	0.	
477	-3.7997e-003	1.2491e-002	0.	
478	-9.2432e-003	-1.2711e-002	0.	
479	-2.1535e-002	2.9955e-003	0.	
480	8.9355e-004	6.3824e-003	0.	
481	-1.6128e-003	1.1743e-002	0.	
482	-2.1006e-002	-8.7225e-003	0.	
483	1.8323e-002	-1.3113e-002	0.	
484	-8.2791e-003	2.1003e-002	0.	
485	-6.475e-003	2.1813e-002	0.	
486	1.4317e-002	1.0108e-002	0.	
487	-3.0909e-003	2.9215e-003	0.	
488	1.3411e-002	1.6222e-002	0.	
